Type,Time (s),Source Cluster,Destination Cluster,Source IP,Destination IP,Protocol,Length (bytes),Flags (hex)
Intra-Communication,1741840585.205448,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840585.205699,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x11
Intra-Communication,1741840585.205779,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.206120,Cluster A,Cluster A,192.168.100.2,192.168.100.6,TCP,74,0x2
Intra-Communication,1741840585.206198,Cluster A,Cluster A,192.168.100.6,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840585.206227,Cluster A,Cluster A,192.168.100.2,192.168.100.6,TCP,66,0x10
Intra-Communication,1741840585.206362,Cluster A,Cluster A,192.168.100.2,192.168.100.6,TCP,90,0x18
Intra-Communication,1741840585.206392,Cluster A,Cluster A,192.168.100.6,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.208141,Cluster A,Cluster A,192.168.100.6,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840585.208165,Cluster A,Cluster A,192.168.100.2,192.168.100.6,TCP,66,0x10
Intra-Communication,1741840585.208226,Cluster A,Cluster A,192.168.100.6,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840585.208387,Cluster A,Cluster A,192.168.100.2,192.168.100.6,TCP,66,0x11
Intra-Communication,1741840585.208696,Cluster A,Cluster A,192.168.100.6,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.209066,Cluster A,Cluster A,192.168.100.2,192.168.100.7,TCP,74,0x2
Intra-Communication,1741840585.209150,Cluster A,Cluster A,192.168.100.7,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840585.209231,Cluster A,Cluster A,192.168.100.2,192.168.100.7,TCP,66,0x10
Intra-Communication,1741840585.209348,Cluster A,Cluster A,192.168.100.2,192.168.100.7,TCP,90,0x18
Intra-Communication,1741840585.209378,Cluster A,Cluster A,192.168.100.7,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.210977,Cluster A,Cluster A,192.168.100.7,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840585.211007,Cluster A,Cluster A,192.168.100.2,192.168.100.7,TCP,66,0x10
Intra-Communication,1741840585.211048,Cluster A,Cluster A,192.168.100.7,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840585.211375,Cluster A,Cluster A,192.168.100.2,192.168.100.7,TCP,66,0x11
Intra-Communication,1741840585.211440,Cluster A,Cluster A,192.168.100.7,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.211737,Cluster A,Cluster A,192.168.100.2,192.168.100.8,TCP,74,0x2
Intra-Communication,1741840585.211784,Cluster A,Cluster A,192.168.100.8,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840585.211794,Cluster A,Cluster A,192.168.100.2,192.168.100.8,TCP,66,0x10
Intra-Communication,1741840585.212078,Cluster A,Cluster A,192.168.100.2,192.168.100.8,TCP,90,0x18
Intra-Communication,1741840585.212104,Cluster A,Cluster A,192.168.100.8,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.213863,Cluster A,Cluster A,192.168.100.8,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840585.213888,Cluster A,Cluster A,192.168.100.2,192.168.100.8,TCP,66,0x10
Intra-Communication,1741840585.213912,Cluster A,Cluster A,192.168.100.8,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840585.213955,Cluster A,Cluster A,192.168.100.2,192.168.100.8,TCP,66,0x11
Intra-Communication,1741840585.213982,Cluster A,Cluster A,192.168.100.8,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.214171,Cluster A,Cluster A,192.168.100.2,192.168.100.9,TCP,74,0x2
Intra-Communication,1741840585.214208,Cluster A,Cluster A,192.168.100.9,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840585.214217,Cluster A,Cluster A,192.168.100.2,192.168.100.9,TCP,66,0x10
Intra-Communication,1741840585.214274,Cluster A,Cluster A,192.168.100.2,192.168.100.9,TCP,90,0x18
Intra-Communication,1741840585.214324,Cluster A,Cluster A,192.168.100.9,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840585.215678,Cluster A,Cluster A,192.168.100.9,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840585.215711,Cluster A,Cluster A,192.168.100.2,192.168.100.9,TCP,66,0x10
Intra-Communication,1741840585.215759,Cluster A,Cluster A,192.168.100.9,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840585.215896,Cluster A,Cluster A,192.168.100.2,192.168.100.9,TCP,66,0x11
Intra-Communication,1741840585.215975,Cluster A,Cluster A,192.168.100.9,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.264670,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,74,0x2
Intra-Communication,1741840605.264976,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840605.265020,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840605.265217,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,100,0x18
Intra-Communication,1741840605.265252,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.268702,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840605.268728,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840605.268844,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840605.268849,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x11
Intra-Communication,1741840605.268869,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.268874,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840605.268963,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,74,0x2
Intra-Communication,1741840605.269001,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840605.269015,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x10
Intra-Communication,1741840605.269090,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,100,0x18
Intra-Communication,1741840605.269101,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.271234,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840605.271253,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x10
Intra-Communication,1741840605.271293,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840605.271371,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x11
Intra-Communication,1741840605.271391,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.271461,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,74,0x2
Intra-Communication,1741840605.271548,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840605.271557,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x10
Intra-Communication,1741840605.271632,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,100,0x18
Intra-Communication,1741840605.271642,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840605.273491,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840605.273513,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x10
Intra-Communication,1741840605.273558,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840605.273568,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x11
Intra-Communication,1741840605.273593,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x10
Inter-Communication,1741840625.301577,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,74,0x2
Inter-Communication,1741840625.301608,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,74,0x2
Inter-Communication,1741840625.301694,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,74,0x12
Inter-Communication,1741840625.301687,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,74,0x12
Inter-Communication,1741840625.301720,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x10
Inter-Communication,1741840625.301724,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x10
Inter-Communication,1741840625.302361,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,83,0x18
Inter-Communication,1741840625.302380,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,83,0x18
Inter-Communication,1741840625.302393,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,66,0x10
Inter-Communication,1741840625.302399,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,66,0x10
Inter-Communication,1741840625.302542,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x11
Inter-Communication,1741840625.302533,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x11
Inter-Communication,1741840625.306219,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,66,0x11
Inter-Communication,1741840625.306244,Cluster B,Cluster A,192.168.100.10,192.168.100.2,TCP,66,0x11
Inter-Communication,1741840625.306299,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x10
Inter-Communication,1741840625.306265,Cluster A,Cluster B,192.168.100.2,192.168.100.10,TCP,66,0x10
Intra-Communication,1741840625.306958,Cluster B,Cluster B,192.168.100.10,192.168.100.11,UDP,59,N/A
Intra-Communication,1741840625.307098,Cluster B,Cluster B,192.168.100.11,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.307713,Cluster B,Cluster B,192.168.100.10,192.168.100.12,UDP,59,N/A
Intra-Communication,1741840625.307834,Cluster B,Cluster B,192.168.100.12,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.308001,Cluster B,Cluster B,192.168.100.10,192.168.100.13,UDP,59,N/A
Intra-Communication,1741840625.308125,Cluster B,Cluster B,192.168.100.13,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.308280,Cluster B,Cluster B,192.168.100.10,192.168.100.14,UDP,59,N/A
Intra-Communication,1741840625.308402,Cluster B,Cluster B,192.168.100.14,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.308512,Cluster B,Cluster B,192.168.100.10,192.168.100.15,UDP,59,N/A
Intra-Communication,1741840625.308597,Cluster B,Cluster B,192.168.100.15,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.308794,Cluster B,Cluster B,192.168.100.10,192.168.100.16,UDP,59,N/A
Intra-Communication,1741840625.308902,Cluster B,Cluster B,192.168.100.16,192.168.100.10,UDP,87,N/A
Intra-Communication,1741840625.309098,Cluster B,Cluster B,192.168.100.10,192.168.100.17,UDP,59,N/A
Intra-Communication,1741840625.309164,Cluster B,Cluster B,192.168.100.17,192.168.100.10,UDP,87,N/A
Inter-Communication,1741840642.210353,Cluster B,Cluster A,192.168.100.10,192.168.100.2,UDP,81,N/A
Inter-Communication,1741840642.210376,Cluster B,Cluster A,192.168.100.10,192.168.100.2,UDP,81,N/A
Intra-Communication,1741840642.210600,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,74,0x2
Intra-Communication,1741840642.210719,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840642.210736,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840642.210830,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,105,0x18
Intra-Communication,1741840642.210842,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840642.212882,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840642.212898,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840642.212950,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x11
Intra-Communication,1741840642.212950,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840642.212973,Cluster A,Cluster A,192.168.100.3,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840642.212977,Cluster A,Cluster A,192.168.100.2,192.168.100.3,TCP,66,0x10
Intra-Communication,1741840642.213057,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,74,0x2
Intra-Communication,1741840642.213099,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840642.213106,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x10
Intra-Communication,1741840642.213176,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,105,0x18
Intra-Communication,1741840642.213182,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840642.214689,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840642.214701,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x10
Intra-Communication,1741840642.214735,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840642.214788,Cluster A,Cluster A,192.168.100.2,192.168.100.4,TCP,66,0x11
Intra-Communication,1741840642.214800,Cluster A,Cluster A,192.168.100.4,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840642.214842,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,74,0x2
Intra-Communication,1741840642.214881,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,74,0x12
Intra-Communication,1741840642.214887,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x10
Intra-Communication,1741840642.214970,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,105,0x18
Intra-Communication,1741840642.214976,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x10
Intra-Communication,1741840642.216557,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,106,0x18
Intra-Communication,1741840642.216568,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x10
Intra-Communication,1741840642.216596,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x11
Intra-Communication,1741840642.216642,Cluster A,Cluster A,192.168.100.2,192.168.100.5,TCP,66,0x11
Intra-Communication,1741840642.216654,Cluster A,Cluster A,192.168.100.5,192.168.100.2,TCP,66,0x10
